source_island,source_island_name,delta_ld,n_source_island,island_rank,trait,target_island,target_island_name
13,Southern 3,0.08265828541912135,584,2,body_mass,5,Hestmannøy
4,Gjerøy,0.08674085454526685,558,3,body_mass,5,Hestmannøy
11,Southern 1,0.08990609399604467,583,4,body_mass,5,Hestmannøy
2,Træna,0.09241475341751419,292,5,body_mass,5,Hestmannøy
12,Southern 2,0.09321954955509265,397,6,body_mass,5,Hestmannøy
6,Indre Kvarøy,0.0971735969316984,356,7,body_mass,5,Hestmannøy
3,Selvær,0.10264295321569057,194,8,body_mass,5,Hestmannøy
8,Lovund,0.10641790835158596,158,9,body_mass,5,Hestmannøy
7,Onøy og Lurøy,0.10653965370262951,259,10,body_mass,5,Hestmannøy
9,Sleneset,0.10868445123512827,166,11,body_mass,5,Hestmannøy
15,Southern 5,0.11276635732493151,202,12,body_mass,5,Hestmannøy
10,Aldra,0.141959928729352,173,13,body_mass,5,Hestmannøy
0,Nesøy,0.14492291443128535,119,14,body_mass,5,Hestmannøy
1,Myken,0.14642085859243364,92,15,body_mass,5,Hestmannøy
5,Hestmannøy,0.08674085454526685,1078,1,body_mass,4,Gjerøy
14,Southern 4,0.09426432315668659,486,2,body_mass,4,Gjerøy
13,Southern 3,0.09674972070819786,584,3,body_mass,4,Gjerøy
11,Southern 1,0.10311098093497548,583,4,body_mass,4,Gjerøy
2,Træna,0.10457015211700554,292,5,body_mass,4,Gjerøy
12,Southern 2,0.10700305211460479,397,6,body_mass,4,Gjerøy
6,Indre Kvarøy,0.1101590166935162,356,7,body_mass,4,Gjerøy
3,Selvær,0.11614401069676633,194,8,body_mass,4,Gjerøy
8,Lovund,0.11642759958625395,158,9,body_mass,4,Gjerøy
7,Onøy og Lurøy,0.11773542404996597,259,10,body_mass,4,Gjerøy
9,Sleneset,0.12043647530681381,166,11,body_mass,4,Gjerøy
15,Southern 5,0.12447539424149606,202,12,body_mass,4,Gjerøy
10,Aldra,0.15042628468842872,173,13,body_mass,4,Gjerøy
1,Myken,0.15541520906515408,92,14,body_mass,4,Gjerøy
0,Nesøy,0.15587768026058943,119,15,body_mass,4,Gjerøy
5,Hestmannøy,0.0971735969316984,1078,1,body_mass,6,Indre Kvarøy
14,Southern 4,0.10292670510947359,486,2,body_mass,6,Indre Kvarøy
13,Southern 3,0.10705944857935862,584,3,body_mass,6,Indre Kvarøy
4,Gjerøy,0.1101590166935162,558,4,body_mass,6,Indre Kvarøy
11,Southern 1,0.11184720993343038,583,5,body_mass,6,Indre Kvarøy
2,Træna,0.11393438877191898,292,6,body_mass,6,Indre Kvarøy
12,Southern 2,0.11510571654936001,397,7,body_mass,6,Indre Kvarøy
8,Lovund,0.1242113157286857,158,8,body_mass,6,Indre Kvarøy
3,Selvær,0.12520656626006263,194,9,body_mass,6,Indre Kvarøy
7,Onøy og Lurøy,0.12559967745545336,259,10,body_mass,6,Indre Kvarøy
9,Sleneset,0.12666192655826058,166,11,body_mass,6,Indre Kvarøy
15,Southern 5,0.13140443962445597,202,12,body_mass,6,Indre Kvarøy
10,Aldra,0.15585648100656052,173,13,body_mass,6,Indre Kvarøy
1,Myken,0.1610551867345172,92,14,body_mass,6,Indre Kvarøy
0,Nesøy,0.16320482209151138,119,15,body_mass,6,Indre Kvarøy
14,Southern 4,0.07839561084927653,486,1,body_mass,5,Hestmannøy
13,Southern 3,0.08265828541912135,584,2,body_mass,5,Hestmannøy
4,Gjerøy,0.08674085454526685,558,3,body_mass,5,Hestmannøy
11,Southern 1,0.08990609399604467,583,4,body_mass,5,Hestmannøy
2,Træna,0.09241475341751419,292,5,body_mass,5,Hestmannøy
12,Southern 2,0.09321954955509265,397,6,body_mass,5,Hestmannøy
6,Indre Kvarøy,0.0971735969316984,356,7,body_mass,5,Hestmannøy
3,Selvær,0.10264295321569057,194,8,body_mass,5,Hestmannøy
8,Lovund,0.10641790835158596,158,9,body_mass,5,Hestmannøy
7,Onøy og Lurøy,0.10653965370262951,259,10,body_mass,5,Hestmannøy
9,Sleneset,0.10868445123512827,166,11,body_mass,5,Hestmannøy
15,Southern 5,0.11276635732493151,202,12,body_mass,5,Hestmannøy
10,Aldra,0.141959928729352,173,13,body_mass,5,Hestmannøy
0,Nesøy,0.14492291443128535,119,14,body_mass,5,Hestmannøy
1,Myken,0.14642085859243364,92,15,body_mass,5,Hestmannøy
5,Hestmannøy,0.10653965370262951,1078,1,body_mass,7,Onøy og Lurøy
14,Southern 4,0.11246669343642708,486,2,body_mass,7,Onøy og Lurøy
13,Southern 3,0.11375604414951822,584,3,body_mass,7,Onøy og Lurøy
4,Gjerøy,0.11773542404996597,558,4,body_mass,7,Onøy og Lurøy
11,Southern 1,0.11926451661131418,583,5,body_mass,7,Onøy og Lurøy
2,Træna,0.12184686384194483,292,6,body_mass,7,Onøy og Lurøy
12,Southern 2,0.12211139992994055,397,7,body_mass,7,Onøy og Lurøy
6,Indre Kvarøy,0.12559967745545336,356,8,body_mass,7,Onøy og Lurøy
8,Lovund,0.12827158245264242,158,9,body_mass,7,Onøy og Lurøy
3,Selvær,0.13031983706350905,194,10,body_mass,7,Onøy og Lurøy
9,Sleneset,0.13148922421558645,166,11,body_mass,7,Onøy og Lurøy
15,Southern 5,0.1380886175121908,202,12,body_mass,7,Onøy og Lurøy
10,Aldra,0.1594841839226975,173,13,body_mass,7,Onøy og Lurøy
1,Myken,0.16614285864968428,92,14,body_mass,7,Onøy og Lurøy
0,Nesøy,0.16699845843742983,119,15,body_mass,7,Onøy og Lurøy
5,Hestmannøy,0.0971735969316984,1078,1,body_mass,6,Indre Kvarøy
14,Southern 4,0.10292670510947359,486,2,body_mass,6,Indre Kvarøy
13,Southern 3,0.10705944857935862,584,3,body_mass,6,Indre Kvarøy
4,Gjerøy,0.1101590166935162,558,4,body_mass,6,Indre Kvarøy
11,Southern 1,0.11184720993343038,583,5,body_mass,6,Indre Kvarøy
2,Træna,0.11393438877191898,292,6,body_mass,6,Indre Kvarøy
12,Southern 2,0.11510571654936001,397,7,body_mass,6,Indre Kvarøy
8,Lovund,0.1242113157286857,158,8,body_mass,6,Indre Kvarøy
3,Selvær,0.12520656626006263,194,9,body_mass,6,Indre Kvarøy
7,Onøy og Lurøy,0.12559967745545336,259,10,body_mass,6,Indre Kvarøy
9,Sleneset,0.12666192655826058,166,11,body_mass,6,Indre Kvarøy
15,Southern 5,0.13140443962445597,202,12,body_mass,6,Indre Kvarøy
10,Aldra,0.15585648100656052,173,13,body_mass,6,Indre Kvarøy
1,Myken,0.1610551867345172,92,14,body_mass,6,Indre Kvarøy
0,Nesøy,0.16320482209151138,119,15,body_mass,6,Indre Kvarøy
5,Hestmannøy,0.10641790835158596,1078,1,body_mass,8,Lovund
14,Southern 4,0.1088281907981496,486,2,body_mass,8,Lovund
13,Southern 3,0.11007708629156213,584,3,body_mass,8,Lovund
2,Træna,0.1130974332449223,292,4,body_mass,8,Lovund
11,Southern 1,0.11508704752950147,583,5,body_mass,8,Lovund
4,Gjerøy,0.11642759958625395,558,6,body_mass,8,Lovund
12,Southern 2,0.11791723297747339,397,7,body_mass,8,Lovund
3,Selvær,0.12306567653903007,194,8,body_mass,8,Lovund
9,Sleneset,0.1234058173612116,166,9,body_mass,8,Lovund
6,Indre Kvarøy,0.1242113157286857,356,10,body_mass,8,Lovund
7,Onøy og Lurøy,0.12827158245264242,259,11,body_mass,8,Lovund
15,Southern 5,0.1359953110013577,202,12,body_mass,8,Lovund
10,Aldra,0.15941577226541997,173,13,body_mass,8,Lovund
1,Myken,0.16363021180097953,92,14,body_mass,8,Lovund
0,Nesøy,0.16398006968146137,119,15,body_mass,8,Lovund
5,Hestmannøy,0.10653965370262951,1078,1,body_mass,7,Onøy og Lurøy
14,Southern 4,0.11246669343642708,486,2,body_mass,7,Onøy og Lurøy
13,Southern 3,0.11375604414951822,584,3,body_mass,7,Onøy og Lurøy
4,Gjerøy,0.11773542404996597,558,4,body_mass,7,Onøy og Lurøy
11,Southern 1,0.11926451661131418,583,5,body_mass,7,Onøy og Lurøy
2,Træna,0.12184686384194483,292,6,body_mass,7,Onøy og Lurøy
12,Southern 2,0.12211139992994055,397,7,body_mass,7,Onøy og Lurøy
6,Indre Kvarøy,0.12559967745545336,356,8,body_mass,7,Onøy og Lurøy
8,Lovund,0.12827158245264242,158,9,body_mass,7,Onøy og Lurøy
3,Selvær,0.13031983706350905,194,10,body_mass,7,Onøy og Lurøy
9,Sleneset,0.13148922421558645,166,11,body_mass,7,Onøy og Lurøy
15,Southern 5,0.1380886175121908,202,12,body_mass,7,Onøy og Lurøy
10,Aldra,0.1594841839226975,173,13,body_mass,7,Onøy og Lurøy
1,Myken,0.16614285864968428,92,14,body_mass,7,Onøy og Lurøy
0,Nesøy,0.16699845843742983,119,15,body_mass,7,Onøy og Lurøy
5,Hestmannøy,0.10868445123512827,1078,1,body_mass,9,Sleneset
14,Southern 4,0.11129907205970378,486,2,body_mass,9,Sleneset
13,Southern 3,0.11479456231621206,584,3,body_mass,9,Sleneset
2,Træna,0.11996804741886907,292,4,body_mass,9,Sleneset
11,Southern 1,0.12032477162668304,583,5,body_mass,9,Sleneset
4,Gjerøy,0.12043647530681381,558,6,body_mass,9,Sleneset
8,Lovund,0.1234058173612116,158,7,body_mass,9,Sleneset
12,Southern 2,0.12406230928172937,397,8,body_mass,9,Sleneset
6,Indre Kvarøy,0.12666192655826058,356,9,body_mass,9,Sleneset
3,Selvær,0.13072976306388315,194,10,body_mass,9,Sleneset
7,Onøy og Lurøy,0.13148922421558645,259,11,body_mass,9,Sleneset
15,Southern 5,0.1389734093329032,202,12,body_mass,9,Sleneset
10,Aldra,0.16189521221611472,173,13,body_mass,9,Sleneset
0,Nesøy,0.16740310277049356,119,14,body_mass,9,Sleneset
1,Myken,0.1686797493915961,92,15,body_mass,9,Sleneset
5,Hestmannøy,0.10641790835158596,1078,1,body_mass,8,Lovund
14,Southern 4,0.1088281907981496,486,2,body_mass,8,Lovund
13,Southern 3,0.11007708629156213,584,3,body_mass,8,Lovund
2,Træna,0.1130974332449223,292,4,body_mass,8,Lovund
11,Southern 1,0.11508704752950147,583,5,body_mass,8,Lovund
4,Gjerøy,0.11642759958625395,558,6,body_mass,8,Lovund
12,Southern 2,0.11791723297747339,397,7,body_mass,8,Lovund
3,Selvær,0.12306567653903007,194,8,body_mass,8,Lovund
9,Sleneset,0.1234058173612116,166,9,body_mass,8,Lovund
6,Indre Kvarøy,0.1242113157286857,356,10,body_mass,8,Lovund
7,Onøy og Lurøy,0.12827158245264242,259,11,body_mass,8,Lovund
15,Southern 5,0.1359953110013577,202,12,body_mass,8,Lovund
10,Aldra,0.15941577226541997,173,13,body_mass,8,Lovund
1,Myken,0.16363021180097953,92,14,body_mass,8,Lovund
0,Nesøy,0.16398006968146137,119,15,body_mass,8,Lovund
5,Hestmannøy,0.141959928729352,1078,1,body_mass,10,Aldra
14,Southern 4,0.1452545712524463,486,2,body_mass,10,Aldra
11,Southern 1,0.14754686165400296,583,3,body_mass,10,Aldra
13,Southern 3,0.14759571766919186,584,4,body_mass,10,Aldra
4,Gjerøy,0.15042628468842872,558,5,body_mass,10,Aldra
12,Southern 2,0.15076195335684545,397,6,body_mass,10,Aldra
2,Træna,0.1508417513490761,292,7,body_mass,10,Aldra
6,Indre Kvarøy,0.15585648100656052,356,8,body_mass,10,Aldra
3,Selvær,0.15933348549494872,194,9,body_mass,10,Aldra
8,Lovund,0.15941577226541997,158,10,body_mass,10,Aldra
7,Onøy og Lurøy,0.1594841839226975,259,11,body_mass,10,Aldra
9,Sleneset,0.16189521221611472,166,12,body_mass,10,Aldra
15,Southern 5,0.1635733082606916,202,13,body_mass,10,Aldra
1,Myken,0.19003665635517508,92,14,body_mass,10,Aldra
0,Nesøy,0.19050415602676476,119,15,body_mass,10,Aldra
5,Hestmannøy,0.10868445123512827,1078,1,body_mass,9,Sleneset
14,Southern 4,0.11129907205970378,486,2,body_mass,9,Sleneset
13,Southern 3,0.11479456231621206,584,3,body_mass,9,Sleneset
2,Træna,0.11996804741886907,292,4,body_mass,9,Sleneset
11,Southern 1,0.12032477162668304,583,5,body_mass,9,Sleneset
4,Gjerøy,0.12043647530681381,558,6,body_mass,9,Sleneset
8,Lovund,0.1234058173612116,158,7,body_mass,9,Sleneset
12,Southern 2,0.12406230928172937,397,8,body_mass,9,Sleneset
6,Indre Kvarøy,0.12666192655826058,356,9,body_mass,9,Sleneset
3,Selvær,0.13072976306388315,194,10,body_mass,9,Sleneset
7,Onøy og Lurøy,0.13148922421558645,259,11,body_mass,9,Sleneset
15,Southern 5,0.1389734093329032,202,12,body_mass,9,Sleneset
10,Aldra,0.16189521221611472,173,13,body_mass,9,Sleneset
0,Nesøy,0.16740310277049356,119,14,body_mass,9,Sleneset
1,Myken,0.1686797493915961,92,15,body_mass,9,Sleneset
5,Hestmannøy,0.08990609399604467,1078,1,body_mass,11,Southern 1
14,Southern 4,0.09103531412055862,486,2,body_mass,11,Southern 1
13,Southern 3,0.09449287974339068,584,3,body_mass,11,Southern 1
12,Southern 2,0.10287784968130234,397,4,body_mass,11,Southern 1
4,Gjerøy,0.10311098093497548,558,5,body_mass,11,Southern 1
2,Træna,0.10394221431428366,292,6,body_mass,11,Southern 1
6,Indre Kvarøy,0.11184720993343038,356,7,body_mass,11,Southern 1
3,Selvær,0.11503426514437125,194,8,body_mass,11,Southern 1
8,Lovund,0.11508704752950147,158,9,body_mass,11,Southern 1
7,Onøy og Lurøy,0.11926451661131418,259,10,body_mass,11,Southern 1
9,Sleneset,0.12032477162668304,166,11,body_mass,11,Southern 1
15,Southern 5,0.12363387701568723,202,12,body_mass,11,Southern 1
10,Aldra,0.14754686165400296,173,13,body_mass,11,Southern 1
0,Nesøy,0.1535674803306121,119,14,body_mass,11,Southern 1
1,Myken,0.15724249393521839,92,15,body_mass,11,Southern 1
5,Hestmannøy,0.141959928729352,1078,1,body_mass,10,Aldra
14,Southern 4,0.1452545712524463,486,2,body_mass,10,Aldra
11,Southern 1,0.14754686165400296,583,3,body_mass,10,Aldra
13,Southern 3,0.14759571766919186,584,4,body_mass,10,Aldra
4,Gjerøy,0.15042628468842872,558,5,body_mass,10,Aldra
12,Southern 2,0.15076195335684545,397,6,body_mass,10,Aldra
2,Træna,0.1508417513490761,292,7,body_mass,10,Aldra
6,Indre Kvarøy,0.15585648100656052,356,8,body_mass,10,Aldra
3,Selvær,0.15933348549494872,194,9,body_mass,10,Aldra
8,Lovund,0.15941577226541997,158,10,body_mass,10,Aldra
7,Onøy og Lurøy,0.1594841839226975,259,11,body_mass,10,Aldra
9,Sleneset,0.16189521221611472,166,12,body_mass,10,Aldra
15,Southern 5,0.1635733082606916,202,13,body_mass,10,Aldra
1,Myken,0.19003665635517508,92,14,body_mass,10,Aldra
0,Nesøy,0.19050415602676476,119,15,body_mass,10,Aldra
5,Hestmannøy,0.09321954955509265,1078,1,body_mass,12,Southern 2
14,Southern 4,0.09366126518343411,486,2,body_mass,12,Southern 2
13,Southern 3,0.09844986915123634,584,3,body_mass,12,Southern 2
11,Southern 1,0.10287784968130234,583,4,body_mass,12,Southern 2
4,Gjerøy,0.10700305211460479,558,5,body_mass,12,Southern 2
2,Træna,0.1073354244111833,292,6,body_mass,12,Southern 2
6,Indre Kvarøy,0.11510571654936001,356,7,body_mass,12,Southern 2
3,Selvær,0.11683987022248847,194,8,body_mass,12,Southern 2
8,Lovund,0.11791723297747339,158,9,body_mass,12,Southern 2
7,Onøy og Lurøy,0.12211139992994055,259,10,body_mass,12,Southern 2
9,Sleneset,0.12406230928172937,166,11,body_mass,12,Southern 2
15,Southern 5,0.12514517332225955,202,12,body_mass,12,Southern 2
10,Aldra,0.15076195335684545,173,13,body_mass,12,Southern 2
1,Myken,0.15490263814075628,92,14,body_mass,12,Southern 2
0,Nesøy,0.15603716068273527,119,15,body_mass,12,Southern 2
5,Hestmannøy,0.08990609399604467,1078,1,body_mass,11,Southern 1
14,Southern 4,0.09103531412055862,486,2,body_mass,11,Southern 1
13,Southern 3,0.09449287974339068,584,3,body_mass,11,Southern 1
12,Southern 2,0.10287784968130234,397,4,body_mass,11,Southern 1
4,Gjerøy,0.10311098093497548,558,5,body_mass,11,Southern 1
2,Træna,0.10394221431428366,292,6,body_mass,11,Southern 1
6,Indre Kvarøy,0.11184720993343038,356,7,body_mass,11,Southern 1
3,Selvær,0.11503426514437125,194,8,body_mass,11,Southern 1
8,Lovund,0.11508704752950147,158,9,body_mass,11,Southern 1
7,Onøy og Lurøy,0.11926451661131418,259,10,body_mass,11,Southern 1
9,Sleneset,0.12032477162668304,166,11,body_mass,11,Southern 1
15,Southern 5,0.12363387701568723,202,12,body_mass,11,Southern 1
10,Aldra,0.14754686165400296,173,13,body_mass,11,Southern 1
0,Nesøy,0.1535674803306121,119,14,body_mass,11,Southern 1
1,Myken,0.15724249393521839,92,15,body_mass,11,Southern 1
5,Hestmannøy,0.08265828541912135,1078,1,body_mass,13,Southern 3
14,Southern 4,0.08689692590016455,486,2,body_mass,13,Southern 3
11,Southern 1,0.09449287974339068,583,3,body_mass,13,Southern 3
4,Gjerøy,0.09674972070819786,558,4,body_mass,13,Southern 3
12,Southern 2,0.09844986915123634,397,5,body_mass,13,Southern 3
2,Træna,0.09934927196816334,292,6,body_mass,13,Southern 3
6,Indre Kvarøy,0.10705944857935862,356,7,body_mass,13,Southern 3
8,Lovund,0.11007708629156213,158,8,body_mass,13,Southern 3
3,Selvær,0.11053507993772589,194,9,body_mass,13,Southern 3
7,Onøy og Lurøy,0.11375604414951822,259,10,body_mass,13,Southern 3
9,Sleneset,0.11479456231621206,166,11,body_mass,13,Southern 3
15,Southern 5,0.11885200825430157,202,12,body_mass,13,Southern 3
10,Aldra,0.14759571766919186,173,13,body_mass,13,Southern 3
1,Myken,0.15086188420968938,92,14,body_mass,13,Southern 3
0,Nesøy,0.15265304287780024,119,15,body_mass,13,Southern 3
5,Hestmannøy,0.07839561084927653,1078,1,body_mass,14,Southern 4
13,Southern 3,0.08689692590016455,584,2,body_mass,14,Southern 4
11,Southern 1,0.09103531412055862,583,3,body_mass,14,Southern 4
12,Southern 2,0.09366126518343411,397,4,body_mass,14,Southern 4
4,Gjerøy,0.09426432315668659,558,5,body_mass,14,Southern 4
2,Træna,0.09637134950970072,292,6,body_mass,14,Southern 4
6,Indre Kvarøy,0.10292670510947359,356,7,body_mass,14,Southern 4
8,Lovund,0.1088281907981496,158,8,body_mass,14,Southern 4
3,Selvær,0.10910917024760157,194,9,body_mass,14,Southern 4
9,Sleneset,0.11129907205970378,166,10,body_mass,14,Southern 4
7,Onøy og Lurøy,0.11246669343642708,259,11,body_mass,14,Southern 4
15,Southern 5,0.11342183147083994,202,12,body_mass,14,Southern 4
10,Aldra,0.1452545712524463,173,13,body_mass,14,Southern 4
0,Nesøy,0.14848997359497368,119,14,body_mass,14,Southern 4
1,Myken,0.14947427157964627,92,15,body_mass,14,Southern 4
5,Hestmannøy,0.11276635732493151,1078,1,body_mass,15,Southern 5
14,Southern 4,0.11342183147083994,486,2,body_mass,15,Southern 5
13,Southern 3,0.11885200825430157,584,3,body_mass,15,Southern 5
11,Southern 1,0.12363387701568723,583,4,body_mass,15,Southern 5
4,Gjerøy,0.12447539424149606,558,5,body_mass,15,Southern 5
12,Southern 2,0.12514517332225955,397,6,body_mass,15,Southern 5
2,Træna,0.128059360089607,292,7,body_mass,15,Southern 5
6,Indre Kvarøy,0.13140443962445597,356,8,body_mass,15,Southern 5
3,Selvær,0.1334118576741326,194,9,body_mass,15,Southern 5
8,Lovund,0.1359953110013577,158,10,body_mass,15,Southern 5
7,Onøy og Lurøy,0.1380886175121908,259,11,body_mass,15,Southern 5
9,Sleneset,0.1389734093329032,166,12,body_mass,15,Southern 5
10,Aldra,0.1635733082606916,173,13,body_mass,15,Southern 5
1,Myken,0.1690213463301735,92,14,body_mass,15,Southern 5
0,Nesøy,0.1699007926504767,119,15,body_mass,15,Southern 5
